feature1,feature2,feature3,feature4,feature5,no_use_col,id
0.46048,0.54167,0.49303,0.33884,0.61242,9999,77
0.50425,0.4665,0.49274,0.43439,0.59844,9999,78
0.41967,0.61022,0.37172,0.40318,0.53667,9999,79
0.48717,0.28982,0.38631,0.58569,0.46994,9999,80
0.32068,0.51158,0.43843,0.45047,0.42449,9999,81
0.56738,0.39631,0.74139,0.46365,0.48207,9999,82
0.63716,0.32918,0.48854,0.48737,0.40532,9999,83
0.50581,0.5518,0.6312,0.33579,0.54433,9999,84
0.49562,0.42847,0.42311,0.30094,0.45937,9999,85
0.63008,0.41155,0.44461,0.41643,0.45122,9999,86
0.31183,0.60755,0.61131,0.29718,0.35913,9999,87
0.73354,0.26522,0.41579,0.61655,0.49473,9999,88
0.45177,0.49313,0.4612,0.47535,0.639,9999,89
0.57163,0.48924,0.6721,0.43799,0.37263,9999,90
0.44109,0.38562,0.60703,0.489,0.56904,9999,91
0.38606,0.41968,0.46322,0.43367,0.56206,9999,92
0.92232,0.45837,0.71068,0.44436,0.3456,9999,93
0.25302,0.55477,0.43729,0.32603,0.36219,9999,94
0.21946,0.52343,0.61671,0.4323,0.63288,9999,95
0.31369,0.43507,0.57576,0.42409,0.42466,9999,96
0.35141,0.43852,0.47053,0.51281,0.28212,9999,97
0.45666,0.3607,0.49504,0.55521,0.49111,9999,98
0.42366,0.49145,0.38571,0.45218,0.72848,9999,99
0.36652,0.34427,0.38513,0.48044,0.56497,9999,100
