target,feature1,feature2,feature3,feature4,feature5,no_use_col
1,0.25302,0.55477,0.43729,0.32603,0.36219,9999
1,0.21946,0.52343,0.61671,0.4323,0.63288,9999
1,0.31369,0.43507,0.57576,0.42409,0.42466,9999
1,0.35141,0.43852,0.47053,0.51281,0.28212,9999
1,0.45666,0.3607,0.49504,0.55521,0.49111,9999
1,0.42366,0.49145,0.38571,0.45218,0.72848,9999
1,0.36652,0.34427,0.38513,0.48044,0.56497,9999
0,0.52579,0.48483,0.37263,0.32479,0.35943,9999
1,0.45315,0.4631,0.44674,0.3923,0.5893,9999
1,0.45515,0.57972,0.49903,0.25341,0.51522,9999
1,0.43128,0.52247,0.41474,0.44522,0.54757,9999
0,0.54069,0.35611,0.62849,0.49278,0.42863,9999
0,0.47402,0.34406,0.49639,0.59678,0.45133,9999
1,0.69489,0.58656,0.43563,0.31296,0.57856,9999
1,0.47509,0.50082,0.67951,0.52414,0.59009,9999
0,0.47779,0.38199,0.68964,0.62637,0.54791,9999
0,0.62687,0.35609,0.46474,0.46639,0.71814,9999
0,0.50374,0.47069,0.4488,0.49252,0.55797,9999
0,0.46136,0.64907,0.63547,0.44884,0.47586,9999
0,0.46044,0.43555,0.31665,0.50844,0.61631,9999
0,0.65215,0.53836,0.58879,0.3887,0.46522,9999
1,0.42992,0.49329,0.33454,0.40709,0.44093,9999
0,0.57131,0.3517,0.54475,0.5879,0.34434,9999
0,0.70476,0.6471,0.55874,0.1917,0.4091,9999
1,0.50418,0.39751,0.32803,0.48968,0.53789,9999
0,0.27542,0.4889,0.42055,0.51949,0.49592,9999
1,0.30226,0.40926,0.50709,0.49708,0.64568,9999
0,0.48226,0.40635,0.57447,0.42433,0.53509,9999
0,0.34221,0.43288,0.42541,0.46235,0.55411,9999
1,0.52232,0.51639,0.25908,0.50386,0.66997,9999
1,0.37605,0.52908,0.59592,0.45832,0.45459,9999
1,0.4909,0.55927,0.43251,0.4813,0.48049,9999
0,0.48634,0.64449,0.63668,0.41408,0.40266,9999
1,0.35342,0.40528,0.34259,0.59169,0.47792,9999
0,0.69812,0.40958,0.3408,0.40477,0.598,9999
0,0.41988,0.59789,0.70976,0.34337,0.22916,9999
0,0.56217,0.55351,0.51461,0.40318,0.58732,9999
0,0.58886,0.3325,0.62924,0.56429,0.50553,9999
0,0.43811,0.65325,0.49757,0.41641,0.52419,9999
0,0.56914,0.4307,0.33825,0.48788,0.53614,9999
1,0.48559,0.56985,0.58511,0.17762,0.68373,9999
0,0.62517,0.3582,0.71642,0.50839,0.4601,9999
0,0.42307,0.4813,0.51087,0.55553,0.48473,9999
0,0.5251,0.46458,0.32091,0.45062,0.5383,9999
0,0.52859,0.48258,0.53264,0.31281,0.42493,9999
0,0.50221,0.44637,0.45114,0.33171,0.52889,9999
0,0.57045,0.48868,0.3267,0.29958,0.46184,9999
1,0.58273,0.44305,0.41438,0.3172,0.50745,9999
1,0.65519,0.28833,0.60787,0.65089,0.54821,9999
1,0.52766,0.47435,0.44228,0.24252,0.47506,9999
1,0.36063,0.48096,0.37068,0.38303,0.31148,9999
0,0.52686,0.50559,0.61231,0.40551,0.5084,9999
1,0.55783,0.28959,0.44214,0.51394,0.42206,9999
0,0.54795,0.29769,0.56813,0.39321,0.59796,9999
0,0.65754,0.38913,0.46912,0.5188,0.56358,9999
1,0.83431,0.36147,0.69324,0.49827,0.22947,9999
0,0.61528,0.34796,0.30959,0.51282,0.26254,9999
1,0.65656,0.48587,0.51018,0.28963,0.58996,9999
0,0.39464,0.60481,0.47344,0.24028,0.63006,9999
1,0.45691,0.15917,0.49339,0.63317,0.52849,9999
0,0.33597,0.47943,0.51535,0.44781,0.52026,9999
0,0.50647,0.49964,0.78812,0.6637,0.43363,9999
1,0.66892,0.36867,0.4676,0.47856,0.67565,9999
0,0.68568,0.61752,0.66493,0.34909,0.40034,9999
0,0.18608,0.48745,0.53777,0.52875,0.55103,9999
1,0.50996,0.27921,0.65995,0.30364,0.62643,9999
1,0.50961,0.43031,0.43334,0.39934,0.46475,9999
0,0.45072,0.64655,0.39676,0.34979,0.48525,9999
0,0.50677,0.4464,0.38786,0.37088,0.53349,9999
1,0.5921,0.36751,0.21279,0.47812,0.6109,9999
1,0.45628,0.49162,0.29139,0.25935,0.64841,9999
0,0.21701,0.52267,0.54428,0.5519,0.35668,9999
1,0.49002,0.46693,0.53732,0.24556,0.51045,9999
1,0.41775,0.31914,0.35596,0.53465,0.73546,9999
0,0.56556,0.24634,0.30163,0.38929,0.73542,9999
0,0.5774,0.2576,0.50926,0.62065,0.5447,9999
1,0.4164,0.44473,0.43258,0.35667,0.53514,9999
1,0.56208,0.46307,0.52355,0.52616,0.78234,9999
1,0.58307,0.51276,0.55252,0.26227,0.22522,9999
0,0.11356,0.59026,0.67295,0.38218,0.32675,9999
1,0.48471,0.57462,0.5749,0.34963,0.4008,9999
1,0.39817,0.4468,0.35446,0.44225,0.72865,9999
0,0.36711,0.34845,0.40112,0.43955,0.51935,9999
1,0.34164,0.32465,0.25417,0.44652,0.62505,9999
0,0.44892,0.59118,0.74134,0.31498,0.35656,9999
0,0.57286,0.5624,0.67094,0.28495,0.35583,9999
0,0.45253,0.62883,0.46507,0.25643,0.42481,9999
1,0.68165,0.33004,0.73813,0.51296,0.45759,9999
0,0.73226,0.57403,0.47482,0.48594,0.40043,9999
1,0.58022,0.45968,0.37263,0.57551,0.57586,9999
0,0.20906,0.56995,0.49064,0.57374,0.63173,9999
1,0.56747,0.4812,0.48654,0.4691,0.5414,9999
1,0.35668,0.47342,0.50981,0.67103,0.34916,9999
0,0.65071,0.42656,0.31885,0.35418,0.58892,9999
1,0.15816,0.39981,0.38974,0.44973,0.60731,9999
0,0.38126,0.43299,0.43432,0.58118,0.44825,9999
0,0.51008,0.58258,0.56695,0.21019,0.54757,9999
0,0.52514,0.24497,0.42209,0.38671,0.65516,9999
1,0.39517,0.20913,0.47198,0.52694,0.40096,9999
0,0.50609,0.60549,0.4971,0.39749,0.37055,9999
0,0.28403,0.44659,0.44588,0.44933,0.59472,9999
0,0.35594,0.51383,0.58867,0.38487,0.6388,9999
1,0.3226,0.38609,0.43921,0.47807,0.45224,9999
0,0.49412,0.42471,0.65349,0.44362,0.34969,9999
1,0.50598,0.40704,0.32344,0.39605,0.67618,9999
1,0.3755,0.73055,0.52774,0.35209,0.51936,9999
